loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
119.0,0.0,, No,,15800000.0,12.0,,12700000.0,12200000.0,21500000.0,, Rejected
,1.0, Not Graduate, Yes,9100000.0,,,717.0,2200000.0,2000000.0,23600000.0,5900000.0, Approved
121.0,5.0, Graduate, No,900000.0,,,545.0,100000.0,200000.0,2700000.0,,
,2.0, Graduate, No,,3200000.0,,317.0,300000.0,1000000.0,2000000.0,900000.0, Rejected
123.0,1.0, Not Graduate, No,8500000.0,32900000.0,10.0,570.0,5100000.0,6200000.0,20500000.0,5500000.0, Approved
124.0,0.0,, Yes,,,18.0,,26800000.0,0.0,20900000.0,11300000.0, Approved
125.0,3.0, Graduate, No,7000000.0,19500000.0,14.0,719.0,12200000.0,10300000.0,18200000.0,10200000.0, Approved
126.0,3.0, Graduate, No,,600000.0,16.0,821.0,400000.0,100000.0,500000.0,100000.0, Approved
127.0,, Not Graduate, Yes,400000.0,800000.0,10.0,859.0,900000.0,500000.0,800000.0,200000.0,
128.0,3.0, Not Graduate, No,5100000.0,18200000.0,10.0,395.0,,8000000.0,,6300000.0, Rejected
129.0,2.0, Not Graduate, Yes,700000.0,2600000.0,12.0,,,1300000.0,,, Rejected
,,, No,400000.0,,,861.0,,600000.0,1100000.0,200000.0, Approved
131.0,0.0, Not Graduate, Yes,9500000.0,20800000.0,14.0,565.0,15100000.0,11900000.0,33900000.0,13400000.0, Approved
132.0,5.0, Graduate,,8800000.0,22600000.0,10.0,357.0,7900000.0,8600000.0,18200000.0,4900000.0, Rejected
133.0,3.0, Not Graduate, Yes,1800000.0,3600000.0,18.0,,600000.0,500000.0,5400000.0,2600000.0, Rejected
134.0,4.0, Not Graduate, Yes,,13900000.0,8.0,479.0,11700000.0,9100000.0,,9600000.0, Rejected
135.0,3.0,, No,1500000.0,5500000.0,16.0,717.0,2100000.0,800000.0,4400000.0,, Approved
,3.0, Graduate, No,1600000.0,5500000.0,12.0,425.0,600000.0,800000.0,,900000.0, Rejected
137.0,, Not Graduate, No,4600000.0,16700000.0,,786.0,200000.0,,,6100000.0, Approved
138.0,5.0, Not Graduate, Yes,2200000.0,6700000.0,6.0,,4400000.0,1300000.0,8600000.0,,
,3.0, Not Graduate, Yes,2900000.0,,12.0,,,3100000.0,7500000.0,1800000.0,
140.0,, Graduate,,200000.0,700000.0,8.0,501.0,500000.0,,700000.0,100000.0, Rejected
141.0,2.0, Not Graduate, Yes,2500000.0,9400000.0,10.0,,6600000.0,4100000.0,9500000.0,3300000.0, Approved
,4.0,, No,3600000.0,,6.0,894.0,1100000.0,6500000.0,7400000.0,2800000.0, Approved
143.0,0.0, Graduate, Yes,5500000.0,,18.0,829.0,,,12800000.0,5900000.0, Approved
144.0,4.0, Not Graduate, No,6600000.0,,20.0,,2600000.0,10000000.0,25900000.0,7200000.0, Rejected
,2.0, Graduate, Yes,,32100000.0,6.0,802.0,,16700000.0,24500000.0,9800000.0, Approved
146.0,, Not Graduate,,600000.0,1500000.0,14.0,,300000.0,900000.0,2100000.0,300000.0, Rejected
147.0,3.0, Graduate, Yes,1400000.0,,20.0,772.0,2400000.0,,,1600000.0,
148.0,3.0, Graduate, No,4000000.0,11100000.0,12.0,572.0,9700000.0,100000.0,12500000.0,2400000.0,
149.0,, Not Graduate, Yes,4900000.0,11900000.0,16.0,,,900000.0,,, Approved
150.0,, Graduate,,2000000.0,6200000.0,18.0,,4000000.0,,7200000.0,1100000.0, Rejected
,1.0, Not Graduate, Yes,5200000.0,19300000.0,,481.0,14300000.0,,18800000.0,4200000.0, Rejected
152.0,5.0, Graduate, Yes,8900000.0,28800000.0,6.0,,13600000.0,5500000.0,20400000.0,8400000.0, Approved
153.0,1.0, Graduate, Yes,6500000.0,20600000.0,,306.0,15900000.0,1900000.0,,3200000.0,
154.0,2.0,, No,1300000.0,4500000.0,6.0,415.0,0.0,900000.0,2900000.0,, Rejected
155.0,3.0, Not Graduate, No,9400000.0,35000000.0,,548.0,18200000.0,4400000.0,36100000.0,, Rejected
156.0,5.0, Not Graduate,,5000000.0,11200000.0,8.0,701.0,9100000.0,500000.0,14000000.0,4600000.0, Approved
157.0,, Graduate,,3000000.0,7700000.0,,890.0,,4300000.0,8400000.0,2100000.0, Approved
158.0,5.0, Not Graduate, Yes,9900000.0,33300000.0,6.0,364.0,5300000.0,18700000.0,27800000.0,, Rejected
,5.0, Graduate,,700000.0,,20.0,704.0,1600000.0,0.0,2200000.0,600000.0,
160.0,3.0,, Yes,4000000.0,10600000.0,,318.0,1500000.0,5100000.0,8000000.0,4900000.0,
161.0,5.0, Not Graduate, No,3100000.0,9600000.0,2.0,761.0,5800000.0,1800000.0,10400000.0,4200000.0, Approved
162.0,4.0, Not Graduate, No,4500000.0,15100000.0,,,3700000.0,,,6000000.0, Approved
,3.0, Not Graduate, No,9700000.0,20600000.0,16.0,524.0,24200000.0,11100000.0,,6100000.0,
164.0,2.0, Not Graduate, Yes,,5300000.0,10.0,681.0,4900000.0,1400000.0,4300000.0,2900000.0,
165.0,2.0, Graduate, Yes,8100000.0,22300000.0,18.0,,,12600000.0,27000000.0,,
166.0,0.0, Not Graduate, No,,15900000.0,16.0,638.0,100000.0,9500000.0,16300000.0,4500000.0, Approved
167.0,, Not Graduate, No,5800000.0,12800000.0,2.0,656.0,500000.0,,16000000.0,2800000.0, Approved
168.0,,,,,6500000.0,6.0,540.0,2500000.0,3200000.0,,1100000.0,
169.0,4.0, Not Graduate, Yes,9100000.0,35200000.0,6.0,341.0,1000000.0,,,8200000.0,
,, Not Graduate,,4800000.0,17500000.0,2.0,,11700000.0,6800000.0,18700000.0,3500000.0, Approved
,3.0,, Yes,,10500000.0,12.0,,4000000.0,500000.0,,2300000.0, Approved
,, Not Graduate, No,1900000.0,4100000.0,18.0,801.0,,800000.0,4800000.0,, Approved
173.0,3.0, Not Graduate, Yes,,9500000.0,16.0,748.0,,,,2600000.0, Approved
174.0,2.0, Not Graduate, Yes,7400000.0,28200000.0,8.0,376.0,21900000.0,5000000.0,17400000.0,5200000.0, Rejected
175.0,4.0, Not Graduate, Yes,6600000.0,,8.0,371.0,10800000.0,9500000.0,18500000.0,7400000.0, Rejected
,2.0, Graduate, No,1800000.0,5300000.0,6.0,826.0,4500000.0,700000.0,6500000.0,1300000.0,
,4.0, Not Graduate, No,,,12.0,873.0,4500000.0,1800000.0,33800000.0,11400000.0, Approved
178.0,5.0, Not Graduate, Yes,,8600000.0,8.0,309.0,500000.0,600000.0,5700000.0,2800000.0, Rejected
179.0,4.0, Not Graduate, No,5600000.0,13300000.0,20.0,,3300000.0,7500000.0,20000000.0,6500000.0, Approved
180.0,5.0, Graduate, No,3800000.0,,12.0,,,2900000.0,,2800000.0, Rejected
181.0,3.0, Not Graduate, Yes,4500000.0,17900000.0,6.0,787.0,9800000.0,,14300000.0,, Approved
182.0,0.0, Graduate, Yes,900000.0,2200000.0,16.0,566.0,100000.0,700000.0,2000000.0,600000.0, Approved
183.0,0.0, Not Graduate, No,2800000.0,,,742.0,,1300000.0,6700000.0,1700000.0, Approved
184.0,2.0, Not Graduate, No,7500000.0,23100000.0,4.0,824.0,12100000.0,10900000.0,,9500000.0, Approved
,4.0,, No,1400000.0,,14.0,,,2100000.0,4900000.0,1400000.0,
,2.0, Graduate, Yes,,,10.0,766.0,,3900000.0,8600000.0,3000000.0, Approved
187.0,1.0, Not Graduate, Yes,,5000000.0,,,,900000.0,4100000.0,2200000.0, Approved
188.0,3.0, Graduate,,9000000.0,30400000.0,6.0,638.0,16800000.0,,26900000.0,9200000.0,
189.0,5.0,, Yes,7300000.0,23300000.0,6.0,622.0,7100000.0,11600000.0,26400000.0,, Approved
,1.0,,,,19800000.0,,,12600000.0,,27700000.0,, Rejected
191.0,1.0, Not Graduate, No,9000000.0,28200000.0,,327.0,1700000.0,2300000.0,24000000.0,11200000.0, Rejected
,, Not Graduate, No,,,,612.0,8800000.0,3400000.0,6700000.0,1700000.0, Approved
193.0,1.0, Graduate,,,2900000.0,8.0,682.0,2200000.0,,,,
194.0,2.0, Graduate,,4800000.0,13200000.0,2.0,583.0,13700000.0,5800000.0,9500000.0,5200000.0, Approved
,5.0,, No,6400000.0,18300000.0,8.0,697.0,,,22500000.0,3600000.0,
196.0,3.0, Graduate, No,9200000.0,27100000.0,12.0,306.0,5800000.0,11500000.0,28000000.0,,
197.0,,,,400000.0,1500000.0,2.0,669.0,-100000.0,,900000.0,,
198.0,2.0, Not Graduate, No,,6000000.0,18.0,816.0,6300000.0,,8000000.0,3400000.0, Approved
199.0,4.0, Not Graduate, Yes,8500000.0,28900000.0,,455.0,,5800000.0,22500000.0,, Rejected
200.0,3.0, Graduate,,,,10.0,,11400000.0,8100000.0,16200000.0,4300000.0, Rejected
,, Not Graduate, Yes,9800000.0,21200000.0,20.0,355.0,22000000.0,8900000.0,,14400000.0, Rejected
202.0,2.0, Not Graduate, Yes,3800000.0,8900000.0,16.0,,200000.0,5600000.0,,2200000.0,
203.0,2.0,, No,500000.0,1500000.0,2.0,888.0,1500000.0,300000.0,1500000.0,600000.0, Approved
204.0,2.0,, Yes,6900000.0,15600000.0,6.0,352.0,13000000.0,5300000.0,22600000.0,10000000.0, Rejected
205.0,4.0,,,9600000.0,30100000.0,12.0,870.0,300000.0,6700000.0,,5600000.0, Approved
206.0,3.0, Not Graduate, No,2900000.0,,18.0,827.0,8300000.0,600000.0,10400000.0,, Approved
207.0,2.0, Graduate, No,9800000.0,20900000.0,,,3400000.0,10200000.0,,13400000.0,
208.0,0.0, Graduate,,,15400000.0,,,10300000.0,10800000.0,,5800000.0,
,1.0, Not Graduate, Yes,,19100000.0,10.0,355.0,,4900000.0,21900000.0,, Rejected
210.0,, Graduate,,,3300000.0,2.0,652.0,100000.0,2100000.0,3500000.0,1900000.0, Approved
211.0,3.0, Graduate, No,,15900000.0,,665.0,14400000.0,900000.0,27200000.0,5400000.0, Approved
212.0,, Not Graduate,,1700000.0,,18.0,420.0,500000.0,1600000.0,3700000.0,2300000.0, Rejected
213.0,2.0,, No,8500000.0,,18.0,471.0,12600000.0,9400000.0,33900000.0,12500000.0, Rejected
214.0,5.0, Not Graduate, No,,,20.0,715.0,5100000.0,,6500000.0,2800000.0, Approved
215.0,, Not Graduate,,6700000.0,15200000.0,10.0,689.0,0.0,8200000.0,,6800000.0, Approved
,3.0, Graduate,,6900000.0,16400000.0,,787.0,11100000.0,,26400000.0,3800000.0,
217.0,2.0, Graduate, No,2600000.0,7800000.0,4.0,819.0,3100000.0,4300000.0,5700000.0,1500000.0, Approved
218.0,, Graduate, Yes,9600000.0,21100000.0,6.0,809.0,16100000.0,9500000.0,34700000.0,8700000.0, Approved
,,, Yes,,,,744.0,,3900000.0,23700000.0,,
,0.0, Not Graduate, No,3200000.0,,6.0,484.0,3500000.0,5500000.0,8500000.0,2100000.0, Rejected
221.0,4.0, Not Graduate,,2900000.0,10400000.0,6.0,673.0,5100000.0,1700000.0,10600000.0,, Approved
222.0,3.0, Graduate, Yes,7900000.0,21200000.0,18.0,695.0,13800000.0,10600000.0,21800000.0,4900000.0, Approved
223.0,4.0,, Yes,,12400000.0,12.0,473.0,6400000.0,4700000.0,13100000.0,3800000.0, Rejected
224.0,4.0, Graduate, Yes,,11000000.0,2.0,491.0,9000000.0,4000000.0,16100000.0,3500000.0, Rejected
225.0,3.0, Not Graduate, Yes,,1700000.0,8.0,733.0,1200000.0,800000.0,,500000.0, Approved
226.0,0.0, Not Graduate, No,5200000.0,15600000.0,20.0,434.0,,5800000.0,18100000.0,5500000.0,
227.0,3.0, Not Graduate, Yes,,20600000.0,10.0,777.0,,,21200000.0,, Approved
228.0,4.0, Graduate,,7200000.0,19100000.0,4.0,774.0,9400000.0,7000000.0,17900000.0,3600000.0,
229.0,, Not Graduate, Yes,8700000.0,27000000.0,10.0,717.0,,8600000.0,17500000.0,9100000.0, Approved
230.0,3.0, Not Graduate,,1100000.0,3500000.0,12.0,503.0,3000000.0,400000.0,2200000.0,1200000.0, Rejected
231.0,1.0, Graduate, Yes,4000000.0,,14.0,598.0,3600000.0,6600000.0,13600000.0,4400000.0, Approved
232.0,2.0, Graduate, No,9800000.0,32400000.0,,543.0,,17500000.0,25700000.0,7700000.0, Approved
233.0,0.0, Not Graduate, Yes,,6800000.0,20.0,796.0,700000.0,4200000.0,7000000.0,1900000.0,
234.0,3.0, Not Graduate, Yes,8800000.0,34600000.0,8.0,386.0,14800000.0,16500000.0,18400000.0,6000000.0, Rejected
235.0,5.0, Not Graduate, Yes,3300000.0,7800000.0,16.0,632.0,,500000.0,7100000.0,, Approved
236.0,1.0,,,6900000.0,,4.0,481.0,18700000.0,1100000.0,23400000.0,10200000.0, Approved
237.0,3.0, Graduate,,900000.0,3500000.0,4.0,770.0,700000.0,0.0,2000000.0,600000.0, Rejected
238.0,, Graduate, Yes,,15500000.0,6.0,667.0,2800000.0,1600000.0,,, Approved
239.0,3.0, Not Graduate,,4700000.0,,8.0,,1200000.0,3100000.0,9600000.0,4900000.0, Approved
,5.0, Graduate,,,11600000.0,16.0,,9200000.0,5700000.0,11200000.0,2400000.0,
241.0,2.0, Graduate,,9600000.0,,18.0,851.0,7400000.0,,,12700000.0, Approved
242.0,3.0, Not Graduate, Yes,7000000.0,,6.0,378.0,20000000.0,12600000.0,20300000.0,,
243.0,5.0, Graduate, No,5700000.0,,18.0,807.0,4100000.0,900000.0,18600000.0,5500000.0, Approved
244.0,1.0, Not Graduate, Yes,,32400000.0,18.0,831.0,22800000.0,12300000.0,17700000.0,, Approved
245.0,, Not Graduate, No,2100000.0,,12.0,674.0,,3200000.0,6400000.0,2400000.0,
,1.0, Not Graduate, Yes,,28100000.0,18.0,,1900000.0,12800000.0,,7500000.0, Approved
247.0,2.0, Not Graduate, No,,29300000.0,4.0,600.0,16500000.0,13200000.0,29400000.0,6500000.0,
248.0,0.0,,,9400000.0,27000000.0,10.0,536.0,4400000.0,1700000.0,,4800000.0, Rejected
249.0,0.0, Graduate, No,8400000.0,20600000.0,,477.0,,1500000.0,25000000.0,11900000.0, Rejected
250.0,1.0, Not Graduate, Yes,1900000.0,5000000.0,6.0,560.0,,1900000.0,6300000.0,1400000.0, Approved
251.0,0.0, Not Graduate, Yes,,16400000.0,20.0,,9500000.0,2100000.0,11400000.0,, Rejected
252.0,,, No,2600000.0,,8.0,852.0,3700000.0,700000.0,10300000.0,,
253.0,3.0, Not Graduate, No,,8500000.0,20.0,853.0,8300000.0,,,, Approved
254.0,,, No,8800000.0,30900000.0,12.0,729.0,1700000.0,700000.0,25700000.0,11400000.0, Approved
255.0,2.0, Not Graduate, No,2100000.0,4700000.0,2.0,546.0,6000000.0,3200000.0,5700000.0,1500000.0, Rejected
